I have done the deed. Didst thou not hear a noise? | William Shakespeare, *Macbeth*
Methought I heard a voice cry, 'Sleep no more! Macbeth does murder sleep.' | William Shakespeare, *Macbeth*
Will all great Neptune's ocean wash this blood Clean from my hand? | William Shakespeare, *Macbeth*
There's daggers in men's smiles. | William Shakespeare, *Macbeth*
Double, double toil and trouble; Fire burn, and cauldron bubble. | William Shakespeare, *Macbeth*
By the pricking of my thumbs, Something wicked this way comes. | William Shakespeare, *Macbeth*
Out, damned spot! Out I say! | William Shakespeare, *Macbeth*
Yet who would have thought the old man to have had so much blood in him? | William Shakespeare, *Macbeth*
All the perfumes of Arabia will not sweeten this little hand. | William Shakespeare, *Macbeth*
All that is within him does condemn itself for being there. | William Shakespeare, *Macbeth*
She should have died hereafter; There would have been time for such a word. | William Shakespeare, *Macbeth*
Out, out brief candle! Life's but a walking shadow... | William Shakespeare, *Macbeth*
...it is a tale Told by an idiot, full of sound and fury, Signifying nothing. | William Shakespeare, *Macbeth*
Macduff was from his mother's womb Untimely ripped. | William Shakespeare, *Macbeth*
Lay on Macduff; And damn'd be him that first cries, 'Hold Enough!' | William Shakespeare, *Macbeth*

Nothing emboldens sin so much as mercy. | William Shakespeare, *Timon of Athens*
Tis not enough to help the feeble up, But to support him after. | William Shakespeare, *Timon of Athens*

In nature's infinite book of secrecy A little I can read. | William Shakespeare, *Antony and Cleopatra*
You shall be yet fairer than you are. | William Shakespeare, *Antony and Cleopatra*
O excellent! I love long life better than figs. | William Shakespeare, *Antony and Cleopatra*
In time we hate that which we often fear. | William Shakespeare, *Antony and Cleopatra*
Eternity was in our lips and eyes, Bliss in our brows bent. | William Shakespeare, *Antony and Cleopatra*
My salad days, When I was green in judgement. | William Shakespeare, *Antony and Cleopatra*
No worse a husband than the best of men. | William Shakespeare, *Antony and Cleopatra*
I will praise any man that will praise me. | William Shakespeare, *Antony and Cleopatra*
We have kiss'd away Kingdoms and provinces. | William Shakespeare, *Antony and Cleopatra*
O sovereign mistress of true melancholy. | William Shakespeare, *Antony and Cleopatra*
All strange and terrible events are welcome, But comforts we despise. | William Shakespeare, *Antony and Cleopatra*
Sweep on, you fat and greasy citizens! | William Shakespeare, *Antony and Cleopatra*
